Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS33880,"Pd630_LPD07220	",hypothetical protein
PD630_RS33885,"Pd630_LPD07221	",hypothetical protein
PD630_RS33890,none,Rieske (2Fe-2S) protein
PD630_RS33895,"Pd630_LPD07223	",Rieske (2Fe-2S) protein (pseudogene)
PD630_RS33900,"Pd630_LPD07224	",hypothetical protein
PD630_RS33905,"Pd630_LPD07225	",ferredoxin
PD630_RS33910,"Pd630_LPD07226	",indoleacetamide hydrolase
PD630_RS33915,"Pd630_LPD07227	",anion transporter
PD630_RS33920,"Pd630_LPD07228	",universal stress protein
PD630_RS33925,"Pd630_LPD07229	",amino acid permease
PD630_RS33930,"Pd630_LPD07230	",hypothetical protein
PD630_RS33935,"Pd630_LPD07231	",hypothetical protein
PD630_RS33940,"Pd630_LPD07232	",hypothetical protein
PD630_RS33945,"Pd630_LPD07233	",C4-dicarboxylate ABC transporter
PD630_RS33950,"Pd630_LPD07235	",2-methylcitrate dehydratase
PD630_RS33955,"Pd630_LPD07236	",N-acyl homoserine lactonase family protein
PD630_RS33960,"Pd630_LPD07237	",aldehyde dehydrogenase
PD630_RS33965,"Pd630_LPD07238	",hypothetical protein
PD630_RS33970,"Pd630_LPD07239	",LysR family transcriptional regulator
PD630_RS33975,"Pd630_LPD07240	",MFS transporter
PD630_RS33980,"Pd630_LPD07241	",transcriptional regulator
PD630_RS33985,"Pd630_LPD07242	",hypothetical protein
PD630_RS33990,"Pd630_LPD07244	",MFS transporter
PD630_RS33995,"Pd630_LPD07245	",CoA transferase
PD630_RS34000,"Pd630_LPD07246	",enoyl-CoA hydratase
PD630_RS34005,"Pd630_LPD07247	",phenylacetate--CoA ligase
PD630_RS34010,none,hypothetical protein
PD630_RS34015,"Pd630_LPD07250	",3-oxoacyl-ACP reductase
PD630_RS34020,"Pd630_LPD07251	",alcohol dehydrogenase
PD630_RS34025,"Pd630_LPD07252	",CoA transferase
PD630_RS34030,"Pd630_LPD07253	",butyryl-CoA dehydrogenase
PD630_RS34035,"Pd630_LPD07254	",MaoC family dehydratase
PD630_RS34040,"Pd630_LPD07255	",hypothetical protein
PD630_RS34045,"Pd630_LPD07256	",hypothetical protein
PD630_RS34050,"Pd630_LPD07257	",CoA transferase
PD630_RS34055,"Pd630_LPD07258	",CoA transferase
PD630_RS34060,"Pd630_LPD07259	",glyoxalase
PD630_RS42580,"Pd630_LPD07260	",WhiB family transcriptional regulator
PD630_RS34070,"Pd630_LPD07261	",aldehyde dehydrogenase
PD630_RS34075,"Pd630_LPD07262	",hypothetical protein
PD630_RS34080,"Pd630_LPD07263	",protein kinase
PD630_RS34085,"Pd630_LPD07264	",MarR family transcriptional regulator
PD630_RS34090,"Pd630_LPD07265	",MFS transporter
PD630_RS34095,"Pd630_LPD07266	",acetyl-CoA acetyltransferase
PD630_RS34100,"Pd630_LPD07267	",MaoC family dehydratase
PD630_RS34105,"Pd630_LPD07268	",acetyl-CoA acetyltransferase
PD630_RS34110,"Pd630_LPD07269	",acyl-CoA dehydrogenase
PD630_RS34115,"Pd630_LPD07270	",4-coumarate--CoA ligase
PD630_RS34120,"Pd630_LPD07271	",acyl-CoA dehydrogenase
PD630_RS34125,"Pd630_LPD07272	",3-oxoacyl-ACP reductase
PD630_RS34130,none,LysR family transcriptional regulator
PD630_RS34135,"Pd630_LPD07275	",LysR family transcriptional regulator
PD630_RS34140,"Pd630_LPD07276	",N-acyl homoserine lactonase family protein
PD630_RS34145,"Pd630_LPD07277	",aldehyde dehydrogenase
PD630_RS34150,"Pd630_LPD07278	",alcohol dehydrogenase
PD630_RS34155,"Pd630_LPD07279	",MFS transporter
PD630_RS34160,"Pd630_LPD07280	",GntR family transcriptional regulator
PD630_RS34165,"Pd630_LPD07281	",AraC family transcriptional regulator
PD630_RS34170,"Pd630_LPD07282	",hypothetical protein
PD630_RS34175,"Pd630_LPD07283	",5-oxoprolinase
PD630_RS34180,"Pd630_LPD07284	",N-methylhydantoinase
PD630_RS34185,"Pd630_LPD07285	",iditol 2-dehydrogenase
PD630_RS34190,"Pd630_LPD07286	",betaine-aldehyde dehydrogenase
PD630_RS34195,"Pd630_LPD07287	",aldo/keto reductase
PD630_RS34200,"Pd630_LPD07288	",ATP-binding protein
PD630_RS34205,"Pd630_LPD07289	",transposase
PD630_RS34210,"Pd630_LPD07290	",hypothetical protein
PD630_RS34215,"Pd630_LPD07291	",hypothetical protein
PD630_RS34220,"Pd630_LPD07292	",transcriptional regulator
PD630_RS42585,none,LysR family transcriptional regulator
PD630_RS34225,none,LysR family transcriptional regulator
PD630_RS34230,"Pd630_LPD07293	",argininosuccinate lyase
PD630_RS34235,none,MFS transporter
PD630_RS34240,"Pd630_LPD07296	",IS5/IS1182 family transposase
PD630_RS34245,"Pd630_LPD07297	",hypothetical protein
PD630_RS42590,none,hypothetical protein (pseudogene)
PD630_RS34250,"Pd630_LPD07299	",LLM class flavin-dependent oxidoreductase
PD630_RS34255,"Pd630_LPD07300	",arginine ABC transporter ATP-binding protein
PD630_RS34260,none,amino acid ABC transporter permease
PD630_RS34265,none,hypothetical protein
PD630_RS34270,none,alpha/beta hydrolase
PD630_RS34275,"Pd630_LPD07304	",hypothetical protein
PD630_RS34280,"Pd630_LPD07305	",GlcG protein
PD630_RS34285,"Pd630_LPD07306	",3%2C4-dihydroxy-2-butanone-4-phosphate synthase
PD630_RS34290,none,oxidoreductase
PD630_RS34295,"Pd630_LPD07308	",alkanesulfonate monooxygenase FMNH(2)-dependent
PD630_RS34300,"Pd630_LPD07309	",hypothetical protein
PD630_RS34305,none,MFS transporter (pseudogene)
PD630_RS34310,"Pd630_LPD07312	",xanthine dehydrogenase
PD630_RS34315,"Pd630_LPD07313	",GTP 3'%2C8-cyclase MoaA
PD630_RS42595,none,molybdenum cofactor biosynthesis protein MoaE (pseudogene)
PD630_RS34320,"Pd630_LPD07314	",MFS transporter
PD630_RS34325,"Pd630_LPD07315	",3-isopropylmalate dehydratase large subunit
PD630_RS34330,"Pd630_LPD07316	",3-isopropylmalate dehydratase small subunit
PD630_RS34335,"Pd630_LPD07317	",AMP-binding protein
PD630_RS34340,none,MarR family transcriptional regulator
PD630_RS34345,"Pd630_LPD07319	",NAD(P)-dependent alcohol dehydrogenase
PD630_RS34350,"Pd630_LPD07322	",carboxyvinyl-carboxyphosphonate phosphorylmutase (pseudogene)
PD630_RS34355,"Pd630_LPD07323	",isochorismatase
PD630_RS34360,"Pd630_LPD07324	",hypothetical protein
PD630_RS34365,"Pd630_LPD07325	",(2Fe-2S)-binding protein
PD630_RS34370,"Pd630_LPD07326	",carbon monoxide dehydrogenase
PD630_RS34375,"Pd630_LPD07327	",hypothetical protein
PD630_RS34380,"Pd630_LPD07328	",fumarate reductase
PD630_RS34385,none,hypothetical protein
PD630_RS34390,"Pd630_LPD07330	",carbon monoxide dehydrogenase subunit G
PD630_RS34395,"Pd630_LPD07331	",hypothetical protein
PD630_RS34400,"Pd630_LPD07332	",MFS transporter
PD630_RS34405,"Pd630_LPD07333	",hypothetical protein
PD630_RS34410,"Pd630_LPD07334	",MFS transporter
PD630_RS34415,"Pd630_LPD07335	",alpha/beta hydrolase
PD630_RS34420,"Pd630_LPD07336	",2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
PD630_RS34425,"Pd630_LPD07337	",hypothetical protein
PD630_RS34430,"Pd630_LPD07338	",carboxyvinyl-carboxyphosphonate phosphorylmutase
PD630_RS34435,"Pd630_LPD07339	",transcriptional regulator
PD630_RS34440,"Pd630_LPD07340	",carboxymuconolactone decarboxylase
PD630_RS34445,"Pd630_LPD07341	",short-chain dehydrogenase/reductase
PD630_RS34450,"Pd630_LPD07342	",short-chain dehydrogenase/reductase
PD630_RS34455,"Pd630_LPD07343	",cupin
PD630_RS34460,"Pd630_LPD07344	",alcohol dehydrogenase
PD630_RS34465,"Pd630_LPD07345	",two-component sensor histidine kinase
PD630_RS34470,"Pd630_LPD07346	",DNA-binding response regulator
PD630_RS34475,none,hypothetical protein
PD630_RS34480,"Pd630_LPD07349	",hypothetical protein
PD630_RS41660,"Pd630_LPD07351	",hypothetical protein
PD630_RS34490,"Pd630_LPD07352	",epimerase
PD630_RS34495,"Pd630_LPD07353	",membrane protein
PD630_RS34500,"Pd630_LPD07354	",oxidoreductase
PD630_RS34505,"Pd630_LPD07355	",transcriptional regulator
PD630_RS34510,"Pd630_LPD07356	",short-chain dehydrogenase/reductase
PD630_RS34515,"Pd630_LPD07357	",short-chain dehydrogenase/reductase
PD630_RS34520,"Pd630_LPD07358	",hypothetical protein
PD630_RS34525,"Pd630_LPD07359	",short-chain dehydrogenase
PD630_RS34530,"Pd630_LPD07360	",hypothetical protein
PD630_RS34535,"Pd630_LPD07361	",Germin subfamily 1 member 15
PD630_RS34540,"Pd630_LPD07362	",4-carboxymuconolactone decarboxylase
PD630_RS34545,"Pd630_LPD07363	",twin-arginine translocation pathway signal protein
PD630_RS34550,"Pd630_LPD07364	",hypothetical protein
PD630_RS34555,"Pd630_LPD07365	",acylaldehyde oxidase
PD630_RS34560,"Pd630_LPD07366	",xanthine dehydrogenase
PD630_RS34565,"Pd630_LPD07367	",acetyl-CoA acetyltransferase
PD630_RS34570,"Pd630_LPD07368	",MBL fold metallo-hydrolase (pseudogene)
PD630_RS34575,"Pd630_LPD07369	",hypothetical protein
PD630_RS34580,"Pd630_LPD07370	",MFS transporter
PD630_RS34585,"Pd630_LPD07371	",MBL fold metallo-hydrolase
PD630_RS34590,"Pd630_LPD07372	",MFS transporter
PD630_RS34595,"Pd630_LPD07373	",CoA transferase
PD630_RS34600,"Pd630_LPD07374	",iditol 2-dehydrogenase
PD630_RS34605,"Pd630_LPD07375	",alcohol dehydrogenase
PD630_RS34610,none,hypothetical protein
PD630_RS34615,none,hypothetical protein
PD630_RS42600,none,hypothetical protein (pseudogene)
PD630_RS34625,"Pd630_LPD07379	",hypothetical protein
PD630_RS34630,"Pd630_LPD07380	",ABC transporter permease
PD630_RS34635,"Pd630_LPD07381	",nitrate ABC transporter ATPase
PD630_RS34640,none,hypothetical protein
PD630_RS34645,"Pd630_LPD07383	",hypothetical protein
PD630_RS34650,"Pd630_LPD07384	",hypothetical protein
PD630_RS34655,"Pd630_LPD07385	",aldehyde dehydrogenase family protein
PD630_RS34660,"Pd630_LPD07386	",3-hydroxyisobutyrate dehydrogenase
PD630_RS34665,"Pd630_LPD07387	",4-carboxymuconolactone decarboxylase
PD630_RS34670,"Pd630_LPD07388	",MFS transporter
PD630_RS34675,"Pd630_LPD07389	",phosphoglyceromutase
PD630_RS34680,"Pd630_LPD07390	",esterase
PD630_RS34685,"Pd630_LPD07391	",IclR family transcriptional regulator
PD630_RS34690,"Pd630_LPD07392	",enoyl-CoA hydratase
PD630_RS34695,"Pd630_LPD07393	",AMP-dependent synthetase
PD630_RS34700,"Pd630_LPD07394	",acyl dehydratase
PD630_RS34705,none,hypothetical protein
PD630_RS34710,"Pd630_LPD07395	",aldehyde dehydrogenase
PD630_RS34715,"Pd630_LPD07396	",alcohol dehydrogenase
PD630_RS34720,"Pd630_LPD07397	",MFS transporter
PD630_RS34725,none,MarR family transcriptional regulator
PD630_RS34730,"Pd630_LPD07399	",transcriptional regulator
PD630_RS34735,"Pd630_LPD07400	",dicarboxylate carrier protein
PD630_RS41410,"Pd630_LPD07401	",hypothetical protein
PD630_RS34745,"Pd630_LPD07402	",cyclohexanecarboxyl-CoA dehydrogenase
PD630_RS34750,"Pd630_LPD07403	",hypothetical protein
PD630_RS34755,"Pd630_LPD07404	",exopolyphosphatase
PD630_RS34760,"Pd630_LPD07405	",hypothetical protein
PD630_RS34765,"Pd630_LPD07406	",hypothetical protein
PD630_RS34770,"Pd630_LPD07407	",CoA transferase
PD630_RS34775,"Pd630_LPD07408	",aldehyde dehydrogenase family protein
PD630_RS34780,none,alcohol dehydrogenase (pseudogene)
PD630_RS42605,none,hypothetical protein
PD630_RS34790,"Pd630_LPD07413	",hypothetical protein
PD630_RS34795,"Pd630_LPD07414	",hypothetical protein
PD630_RS34800,"Pd630_LPD07416	",MFS transporter
PD630_RS34805,"Pd630_LPD07417	",hypothetical protein
PD630_RS34810,"Pd630_LPD07418	",hypothetical protein
PD630_RS34815,none,FadR family transcriptional regulator
PD630_RS34820,"Pd630_LPD07420	",iditol 2-dehydrogenase
PD630_RS34825,"Pd630_LPD07421	",hypothetical protein
PD630_RS34830,"Pd630_LPD07422	",hypothetical protein
PD630_RS34835,"Pd630_LPD07423	",2-aminoethylphosphonate ABC transporter ATP-binding component PhnT
PD630_RS34840,"Pd630_LPD07424	",2-hydroxymuconic semialdehyde dehydrogenase
PD630_RS42610,none,hypothetical protein
PD630_RS34845,"Pd630_LPD07425	",hypothetical protein
PD630_RS34850,"Pd630_LPD07426	",N-acyl homoserine lactonase family protein
PD630_RS34855,"Pd630_LPD07427	",CoA ester lyase
PD630_RS34860,"Pd630_LPD07428	",CoA transferase
PD630_RS34865,"Pd630_LPD07429	",aldehyde dehydrogenase
PD630_RS34870,"Pd630_LPD07430	",2-methylcitrate dehydratase
PD630_RS34875,"Pd630_LPD07431	",alpha/beta hydrolase
PD630_RS34880,"Pd630_LPD07432	",cupin (pseudogene)
PD630_RS42615,none,ABC transporter ATP-binding protein (pseudogene)
PD630_RS34890,"Pd630_LPD07434	",phenylacetate--CoA ligase
PD630_RS34895,"Pd630_LPD07435	",CoA transferase
PD630_RS34900,"Pd630_LPD07436	",enoyl-CoA hydratase
PD630_RS34905,"Pd630_LPD07437	",CoA transferase
PD630_RS34910,"Pd630_LPD07438	",acyl-CoA dehydrogenase
PD630_RS34915,"Pd630_LPD07439	",acyl-CoA synthetase
PD630_RS34920,"Pd630_LPD07440	",MaoC family dehydratase
PD630_RS34925,"Pd630_LPD07441	",MFS transporter
PD630_RS34930,none,WhiB family transcriptional regulator
PD630_RS34935,"Pd630_LPD07443	",TetR family transcriptional regulator
PD630_RS34940,"Pd630_LPD07444	",amino acid permease
PD630_RS34945,"Pd630_LPD07445	",6-aminohexanoate-dimer hydrolase
PD630_RS42620,none,amidohydrolase (pseudogene)
PD630_RS34955,none,hypothetical protein
PD630_RS34960,"Pd630_LPD07447	",enoyl-CoA hydratase
PD630_RS34965,"Pd630_LPD07448	",IclR family transcriptional regulator
PD630_RS34970,"Pd630_LPD07449	",2-methylcitrate dehydratase
PD630_RS34975,"Pd630_LPD07450	",2-methylcitrate dehydratase
PD630_RS34980,none,hypothetical protein
PD630_RS34985,"Pd630_LPD07451	",MFS transporter
PD630_RS34990,none,hypothetical protein
PD630_RS34995,"Pd630_LPD07454	",oxidoreductase
PD630_RS35000,"Pd630_LPD07455	",2-hydroxyhepta-2%2C4-diene-1%2C7-dioate isomerase
PD630_RS35005,"Pd630_LPD07456	",NADH:flavin oxidoreductase
PD630_RS35010,"Pd630_LPD07458	",amino acid transporter
PD630_RS35015,none,hypothetical protein
PD630_RS35020,"Pd630_LPD07460	",oxidoreductase
PD630_RS35025,"Pd630_LPD07461	",amino acid permease
PD630_RS35030,"Pd630_LPD07462	",hypothetical protein
PD630_RS35035,"Pd630_LPD07463	",oxidoreductase
PD630_RS35040,"Pd630_LPD07464	",GTP 3'%2C8-cyclase MoaA
PD630_RS35045,"Pd630_LPD07465	",xanthine dehydrogenase
PD630_RS35050,"Pd630_LPD07466	",apolipoprotein N-acyltransferase
PD630_RS35055,"Pd630_LPD07467	",carbon monoxide dehydrogenase subunit G
PD630_RS35060,"Pd630_LPD07468	",2%2C6-dihydroxypyridine hydroxylase dhph
PD630_RS35065,"Pd630_LPD07469	",cyclase
PD630_RS35070,"Pd630_LPD07470	",stress protein
PD630_RS35075,"Pd630_LPD07471	",xanthine dehydrogenase
PD630_RS35080,"Pd630_LPD07472	",2%2C6-dihydropseudooxynicotine hydrolase
PD630_RS35085,"Pd630_LPD07473	",hypothetical protein
PD630_RS35090,"Pd630_LPD07474	",CdaR family transcriptional regulator
PD630_RS35095,"Pd630_LPD07475	",CdaR family transcriptional regulator
PD630_RS35100,"Pd630_LPD07476	",ketone dehydrogenase medium subunit
PD630_RS35105,"Pd630_LPD07477	",(2Fe-2S)-binding protein
PD630_RS35110,"Pd630_LPD07478	",6-hydroxy-L-nicotine oxidase
PD630_RS35115,"Pd630_LPD07479	",hypothetical protein
PD630_RS35120,"Pd630_LPD07480	",amino acid transporter (pseudogene)
PD630_RS35125,"Pd630_LPD07481	",xanthine dehydrogenase
PD630_RS35130,"Pd630_LPD07482	",(2Fe-2S)-binding protein
PD630_RS35135,"Pd630_LPD07483	",molybdopterin dehydrogenase FAD-binding subunit
PD630_RS35140,"Pd630_LPD07484	",glutamate dehydrogenase
PD630_RS35145,"Pd630_LPD07486	",aspartate aminotransferase family protein
PD630_RS35150,"Pd630_LPD07487	",aldehyde dehydrogenase
PD630_RS35155,none,antibiotic biosynthesis monooxygenase
PD630_RS35160,"Pd630_LPD07489	",hypothetical protein
PD630_RS35165,"Pd630_LPD07490	",hypothetical protein
PD630_RS35170,"Pd630_LPD07491	",hypothetical protein
PD630_RS35175,"Pd630_LPD07492	",hypothetical protein
PD630_RS35180,"Pd630_LPD07493	",hypothetical protein
PD630_RS35185,"Pd630_LPD07494	",4-hydroxyphenylpyruvate dioxygenase
PD630_RS35190,"Pd630_LPD07495	",AsnC family transcriptional regulator
PD630_RS35195,"Pd630_LPD07496	",amino acid dehydrogenase
PD630_RS35200,"Pd630_LPD07497	",amino acid transporter
PD630_RS35205,"Pd630_LPD07498	",NADH:flavin oxidoreductase
PD630_RS35210,"Pd630_LPD07499	",anion transporter
PD630_RS35215,"Pd630_LPD07500	",3-carboxy-cis%2Ccis-muconate cycloisomerase
PD630_RS35220,"Pd630_LPD07501	",hypothetical protein (pseudogene)
PD630_RS35225,"Pd630_LPD07502	",hypothetical protein
PD630_RS35230,"Pd630_LPD07503	",transcriptional regulator
PD630_RS35235,"Pd630_LPD07504	",TetR family transcriptional regulator
PD630_RS41420,"Pd630_LPD07505	",hypothetical protein
PD630_RS35250,"Pd630_LPD07506	",3-dehydroquinate dehydratase
PD630_RS35255,"Pd630_LPD07507	",sugar phosphate isomerase
PD630_RS35260,"Pd630_LPD07508	",glycosyl transferase
PD630_RS35265,"Pd630_LPD07509	",serine/threonine protein kinase
PD630_RS35270,none,TetR family transcriptional regulator
PD630_RS35275,"Pd630_LPD07511	",hypothetical protein
PD630_RS35280,"Pd630_LPD07512	",hypothetical protein
PD630_RS35285,"Pd630_LPD07513	",phenylalanine dehydrogenase
PD630_RS35290,"Pd630_LPD07514	",peptidase M20
PD630_RS35295,"Pd630_LPD07515	",aldehyde dehydrogenase
PD630_RS35300,"Pd630_LPD07516	",glucose-methanol-choline oxidoreductase
PD630_RS35305,"Pd630_LPD07517	",hypothetical protein
PD630_RS35310,"Pd630_LPD07518	",membrane protein
PD630_RS35315,"Pd630_LPD07519	",transcriptional regulator
PD630_RS35320,"Pd630_LPD07520	",hypothetical protein
PD630_RS35325,"Pd630_LPD07521	",hypothetical protein
PD630_RS35330,"Pd630_LPD07522	",hypothetical protein
PD630_RS35335,"Pd630_LPD07523	",hypothetical protein
PD630_RS35340,"Pd630_LPD07524	",hypothetical protein
PD630_RS35345,"Pd630_LPD07526	",chromosome partitioning protein ParA
PD630_RS35350,"Pd630_LPD07527	",hypothetical protein
PD630_RS35355,"Pd630_LPD07528	",2-hydroxycyclohexanecarboxyl-CoA dehydrogenase
PD630_RS35360,"Pd630_LPD07529	",peroxiredoxin
PD630_RS35365,"Pd630_LPD07530	",alkyl hydroperoxide reductase subunit F
PD630_RS35370,"Pd630_LPD07531	",CHAT domain-containing protein
PD630_RS35375,"Pd630_LPD07532	",VOC family protein
PD630_RS35380,"Pd630_LPD07533	",FAD-dependent oxidoreductase
PD630_RS35385,"Pd630_LPD07534	",TetR family transcriptional regulator
PD630_RS35390,"Pd630_LPD07535	",hypothetical protein
PD630_RS35395,"Pd630_LPD07536	",transcriptional regulator
PD630_RS35400,"Pd630_LPD07537	",hypothetical protein
PD630_RS35405,"Pd630_LPD07538	",glutathione-dependent formaldehyde dehydrogenase
PD630_RS35410,"Pd630_LPD07539	",FAD-binding protein (pseudogene)
PD630_RS35415,"Pd630_LPD07540	",hypothetical protein
PD630_RS35420,"Pd630_LPD07541	",MarR family transcriptional regulator
PD630_RS35425,"Pd630_LPD07542	",aldehyde dehydrogenase
PD630_RS35430,"Pd630_LPD07543	",NAD(P)-dependent alcohol dehydrogenase
PD630_RS35435,"Pd630_LPD07544	",AraC family transcriptional regulator
PD630_RS35440,"Pd630_LPD07546	",S-adenosylmethionine--2-demethylmenaquinone methyltransferase
PD630_RS35445,"Pd630_LPD07547	",aspartate aminotransferase
PD630_RS35450,"Pd630_LPD07548	",L-idonate 5-dehydrogenase
PD630_RS35455,"Pd630_LPD07549	",oxidoreductase
PD630_RS35460,"Pd630_LPD07550	",MFS transporter
PD630_RS35465,"Pd630_LPD07551	",allophanate hydrolase
PD630_RS35470,"Pd630_LPD07552	",allophanate hydrolase
PD630_RS35475,"Pd630_LPD07553	",hypothetical protein
PD630_RS35480,"Pd630_LPD07554	",LysR family transcriptional regulator
PD630_RS35485,"Pd630_LPD07555	",2-hydroxyacid dehydrogenase
PD630_RS35490,"Pd630_LPD07556	",gluconate 5-dehydrogenase
PD630_RS35495,"Pd630_LPD07557	",gluconate kinase
PD630_RS35500,"Pd630_LPD07558	",MFS transporter
PD630_RS35505,"Pd630_LPD07560	",N-methyltryptophan oxidase
PD630_RS35510,"Pd630_LPD07561	",oxidoreductase
PD630_RS35515,"Pd630_LPD07562	",hypothetical protein
PD630_RS35520,"Pd630_LPD07563	",5-dehydro-4-deoxyglucarate dehydratase
PD630_RS35525,"Pd630_LPD07564	",pyruvate dehydrogenase E1
PD630_RS42625,"Pd630_LPD07565	",hypothetical protein
PD630_RS35530,"Pd630_LPD07566	",Zn-dependent protease
PD630_RS35535,"Pd630_LPD07567	",arylsulfatase
PD630_RS35540,"Pd630_LPD07569	",peptide ABC transporter substrate-binding protein
PD630_RS35545,"Pd630_LPD07570	",peptide ABC transporter permease
PD630_RS35550,"Pd630_LPD07571	",peptide ABC transporter permease
PD630_RS35555,"Pd630_LPD07572	",ABC transporter ATP-binding protein
PD630_RS35560,"Pd630_LPD07573	",fusaric acid resistance protein
PD630_RS35565,"Pd630_LPD07574	",glyoxalase
PD630_RS35570,"Pd630_LPD07575	",DNA polymerase subunit beta
PD630_RS35575,none,glyoxalase (pseudogene)
PD630_RS35580,"Pd630_LPD07577	",PPOX class F420-dependent oxidoreductase
PD630_RS35585,"Pd630_LPD07578	",dihydrolipoyl dehydrogenase
PD630_RS35590,"Pd630_LPD07579	",branched-chain alpha-keto acid dehydrogenase subunit E2
PD630_RS35595,"Pd630_LPD07580	",2-oxoisovalerate dehydrogenase subunit beta
PD630_RS35600,"Pd630_LPD07581	",pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha
PD630_RS35605,"Pd630_LPD07582	",transcriptional regulator
PD630_RS35610,"Pd630_LPD07583	",hypothetical protein
PD630_RS35615,"Pd630_LPD07584	",peptidase
PD630_RS35620,"Pd630_LPD07585	",hypothetical protein
